personagem,tipo,url,descricao,habilidades,img_url
Gon Freecss,Hunters,https://hunterxhunter.fandom.com/wiki/Gon_Freecss,"Gon é um menino atlético, rústico e amigável que está procurando por aventuras. Ele não é muito bom em matemática, mas é muito bom com animais porque passou muitas vezes na natureza durante sua infância. Ele é um Enhancer, o que significa que ele é determinado e com mente simples. Gon tem habilidades sobrenaturais como sentido olfativo, visão e paladar apurados. Ele deseja se tornar um Hunter para descobrir o que é tão importante para seu pai a ponto de escolher a profissão em vez de ficar com seu filho. Ele tem potenciais aliados e inimigos que confiam e acreditam precisam dele.","['Visão Aprimorada', 'Audição Aprimorada', 'Sabor Aprimorado', 'cheiro imenso', 'Percepção Sobrenatural', 'Força Aprimorada', 'Pedra', 'Velocidade e reflexos aprimorados', 'Agilidade aprimorada', 'Vigor Aprimorado']",https://static.wikia.nocookie.net/hunterxhunter/images/f/fd/HxH2011_EP5_Gon_feeling_excited.png/revision/latest?cb=20221126070501
Killua Zoldyck,Hunters,https://hunterxhunter.fandom.com/wiki/Killua_Zoldyck,"O texto apresenta Killua como um personagem parecido com Gon em relação a personalidade, mas diferente em relação à gentileza. Ele é conhecido por ser rude com estranhos e pessoas mais velhas, mas ama doces, especialmente chocolate, tendo gasto 200 milhões em snacks no Heavens Arena. Seus favoritos são Chocolate Balls e Chocolate Robots.","['Percepção Sobrenatural', 'Força Aprimorada', 'Velocidade e reflexos imensos', 'Agilidade imensa', 'Vigor Aprimorado', 'Durabilidade Avançada', 'Pedra', 'Resistência Aprimorada', 'Resistência à Eletricidade', 'Resistência imensa a venenos']",https://static.wikia.nocookie.net/hunterxhunter/images/5/59/HxH2011_EP27_Killua_spends_his_money_on_Chocolate_Robots.png/revision/latest?cb=20230328233218
Kurapika,Hunters,https://hunterxhunter.fandom.com/wiki/Kurapika,"Kurapika é um caçador profissional que se torna autodestrutivo por causa de sua raiva, cometendo atos vil para aliviar sua dor. Ele é cruel e irracional, mas seus amigos o acalmam o suficiente para pensar com clareza. Ele passa a valorizar suas amizades e coloca sua vingança em espera pelo bem-estar deles, mesmo questionando a legitimidade de sua busca após conhecer a lealdade dos membros da trupe.","['Olhos Escarlates', 'Audição Avançada', 'Percepção Sobrenatural', 'Força Aprimorada', 'Velocidade e reflexos aprimorados', 'Agilidade aprimorada', 'Resistência Aprimorada', 'Intelecto de Nível Gênio', 'Mestre Estrategista', 'Combate corpo-a-corpo proficiente']",https://static.wikia.nocookie.net/hunterxhunter/images/0/08/Py_save_Kura.PNG/revision/latest?cb=20121202132348
Leorio Paradinight,Hunters,https://hunterxhunter.fandom.com/wiki/Leorio_Paradinight,"Leorio é um aliado leal e confiável que valoriza muito a amizade e age como um irmão mais velho do grupo. Ele fornece alívio cômico e tem habilidade para falar francamente em muitas situações. Ele é próximo de Kurapika por terem passado mais tempo juntos. Sua natureza impetuosa e imprudente já causou problemas para as pessoas ao seu redor. Killua às vezes o ridiculariza por ser mais velho, embora ele jure que sua aparência é de um adolescente.","['Percepção Sobrenatural', 'Força Aprimorada', 'Velocidade e reflexos avançados', 'Agilidade Avançada', 'Resistência Avançada', 'Especialista em armas', 'Conhecimento médico', 'Haggler Habilidoso', 'Boneca de alma', 'Boneca de alma']",https://static.wikia.nocookie.net/hunterxhunter/images/6/64/HxH2011_EP4_Leorio%27s_Past.png/revision/latest?cb=20220915030315
Hisoka Morow,Hunters,https://hunterxhunter.fandom.com/wiki/Hisoka_Morow,"Hisoka é retratado como egoísta, auto-absorvido e que faz o que quiser desde que isso lhe dê prazer, principalmente quando se trata de matar lutadores poderosos. Ele permite que os protagonistas principais vivam em situações em que ele possivelmente poderia matá-los no futuro, para que eles possam alcançar o máximo potencial como lutadores. Ele procura constantemente por novas pessoas que ele considera dignas de lutar, já que a emoção de lutar com usuários de Nen fortes é uma experiência orgásmica para ele. Seus desejos sadomasoquistas são alimentados pela sua apreciação pela dor extrema durante as lutas. Seus ""brinquedos"" são substituídos assim que eles perdem o interesse, ou ele simplesmente os mata.","['Percepção Sobrenatural', 'força imensa', 'Pedra', 'Elástico elástico', 'Velocidade e reflexos aprimorados', 'Elástico elástico', 'Agilidade aprimorada', 'Vigor Aprimorado', 'Resistência imensa', 'Intelecto de Nível Gênio']",https://static.wikia.nocookie.net/hunterxhunter/images/4/43/Hisoka_episode_16.PNG/revision/latest?cb=20130422161849
Biscuit Krueger,Hunters,https://hunterxhunter.fandom.com/wiki/Biscuit_Krueger,"Biscuit é uma personagem de personalidade astuta em Hunter x Hunter. Ela usa sua aparência fofa e comportamento para obter vantagens, seja para obter informações, conseguir o que deseja ou agir como inocente e impotente na batalha para enganar seus oponentes. Ela tem uma personalidade destrutiva, mas acaba desenvolvendo sentimentos de parentalidade em relação a Gon e Killua. Biscuit pode ter explosões violentas quando é deixada de fora de uma conversa ou lembra de sua verdadeira idade. No entanto, é facilmente persuadida quando alguém elogia sua aparência. Ela também detesta sua verdadeira forma, apesar de ter treinado duro para alcançá-la.","['Percepção Sobrenatural', 'força imensa', 'Velocidade e reflexos imensos', 'Vigor Aprimorado', 'Intelecto Aguçado', 'Mestre combatente corpo a corpo', 'Excelente professor', 'Bolacha', 'Bolacha', 'Biscoito, Gon Freecss e Killua Zoldyck']",https://static.wikia.nocookie.net/hunterxhunter/images/2/2d/Biscuit_asking.png/revision/latest?cb=20130303091734
Kite,Hunters,https://hunterxhunter.fandom.com/wiki/Kite,"Kite era um entusiasmado jovem irmão de Meruem que brincava com brinquedos e espadas, mas logo retornou à sua personalidade anterior devido à recuperação de suas memórias. Ele ajudou Gon e Koala a lidar com seus sentimentos de culpa e deu a Koala um novo propósito de vida.","['Força Aprimorada', 'Velocidade Aprimorada', 'Jajanken', 'Vigor Aprimorado', 'Resistência imensa', 'Intelecto Aguçado', 'Combate corpo-a-corpo proficiente', 'Mestre Especialista em Armas', 'Caça-Níqueis Malucos', 'Caça-Níqueis Malucos']",https://static.wikia.nocookie.net/hunterxhunter/images/c/cf/Kite_hits_Gon.png/revision/latest?cb=20130512152742
Isaac Netero,Hunters,https://hunterxhunter.fandom.com/wiki/Isaac_Netero,"O texto fala sobre a personalidade extravagante de Netero, presidente da Associação Hunter. Ele era um artista marcial sincero, porém gostava de dar desafios impossíveis para os candidatos a Hunter e também enfrentar adversários formidáveis. Além disso, Netero era considerado um indivíduo excêntrico e insano por suas atitudes e vez ou outra tinha seus pensamentos diferentes do que dizia. Ele inclusive tinha fama de ser um homem luxurioso na associação, com vários caçadores deixando revistas adultas em sua homenagem.","['força imensa', 'Velocidade e reflexos insondáveis', 'Bodhisattva Guanyin Tipo 100', 'Agilidade imensa', 'resistência imensa', 'Durabilidade aprimorada', 'Resistência imensa', 'Controle Muscular', 'mão zero', 'Intelecto de Nível Gênio']",https://static.wikia.nocookie.net/hunterxhunter/images/4/43/19_-_Netero_and_Killua.png/revision/latest?cb=20230314041611
Ging Freecss,Hunters,https://hunterxhunter.fandom.com/wiki/Ging_Freecss,"Ging tem uma personalidade tímida e teimosa, e só deseja se encontrar com Gon sozinho. Ele demonstra respeito pelo falecido presidente Netero. Ging é inteligente, mas às vezes age impulsivamente sem saber o motivo.","['velocidade imensa', 'Adaptabilidade Aprimorada', 'Intelecto de Nível Gênio', 'Polímata', 'Poliglota', 'Ging', 'Ging', 'Ging', 'ao vivo', 'manter']",https://static.wikia.nocookie.net/hunterxhunter/images/5/56/Ging_Greed_Island.png/revision/latest?cb=20190118014957
Silva Zoldyck,Zoldyck Household,https://hunterxhunter.fandom.com/wiki/Silva_Zoldyck,"Silva é uma pessoa estoica, calma e pensativa. Embora tenha pouco contato com seu filho Killua, ele o considera muito e o escolheu como herdeiro da família. Silva percebeu mais tarde que Killua não compartilha de sua paixão pelo assassino e permitiu que seu filho fosse com Gon em busca de seu pai, porque ele considerou isso um passo importante no desenvolvimento de Killua como herdeiro da família Zoldyck. No entanto, Silva não gosta da atitude um pouco tagarela de Zeno e geralmente ignora metade do que ele diz.","['habilidades de assassinato', 'força imensa', 'velocidade imensa', 'Durabilidade aprimorada', 'Resistência imensa a venenos', 'Mestre combatente corpo a corpo', 'silva', 'tudo sobre isto', 'significado', 'meu']",https://static.wikia.nocookie.net/hunterxhunter/images/e/eb/24_-_Silva_laughs.png/revision/latest?cb=20170823070906
